manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Alesis,M1 Active 520,M1 520 Active,active speakers,power amp ICs; active crossover op-amps; PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,45,30,one speaker faulty; hum; broken jack,burnt board; water damage; missing amp plate,medium,Low-value active amp donor,Common budget monitor; exact IC verify,Cheap only.
Behringer,Truth B2031A,B2031A active monitor|Truth 2031A,active speakers,power amplifier ICs/modules; active crossover op-amps; transformer/PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,58,45,one speaker dead; hum; broken tweeter; cosmetic damage,burnt board; water damage; missing amp plate; both drivers blown,medium,Mains amp plate; discharge caps,Common active monitor; exact amp ICs vary by revision,Buy single faulty speakers cheap.
Genelec,1029A,Genelec 1029 A,active speakers,power amplifier modules; active crossover parts; drivers; transformer,power amplifier IC|op-amp|transformer or mechanical salvage,probable,78,100,one channel/speaker fault; broken input; cosmetic damage,burnt board; water damage; missing drivers,hard,High intact value; repair preferred,Genelec active monitor architecture; exact ICs verify,Usually worth more intact.
KRK,Rokit RP5 G2,RP5G2|Rokit 5 G2,active speakers,power amp ICs/modules; active crossover op-amps; transformer/SMPS; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,55,40,one speaker hum; broken input; tweeter fault,burnt amp board; water damage; missing drivers,medium,SMPS caution; parts useful if one driver works,Common active monitor; exact ICs vary,Faulty singles common.
M-Audio,BX5a,BX5a Deluxe|BX5 active speaker,active speakers,power amp ICs; active crossover op-amps; transformer/PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,48,30,one speaker faulty; hum; broken socket,burnt board; water damage; missing amp plate,medium,Small active amp plate,Common monitor; exact ICs verify,Very common cheap.
Mackie,HR824,HR824 Mk1|HR824,active speakers,power amp modules; active crossover op-amps; drivers; transformer/PSU,power amplifier IC|op-amp|transformer or mechanical salvage,probable,72,100,single speaker fault; hum; broken input,burnt amp board; water damage; missing passive radiator/driver,hard,Large active monitor; high intact value,Common pro monitor; exact amp parts verify,Repair preferred.
Tannoy,Reveal Active,Reveal Active Monitor,active speakers,power amp ICs/modules; crossover op-amps; transformer/PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,52,40,one speaker dead; hum; broken input,burnt board; water damage; missing drivers,medium,Mains plate caution,Common active monitor; exact components verify,Good single-speaker donor.
Arcam,AV9,Arcam AV 9,AV receiver,high-grade multichannel DACs; balanced-quality analogue output stage,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,89,120,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Arcam,AVR300,AVR 300,AV receiver,Wolfson/Cirrus-class DAC stage probable; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,76,120,HDMI absent; input fault; display fault; missing remote,burnt output; no sound; water damage,hard,High intact value; heavy,Arcam AVR class; exact chips verify,Often repair candidate.
Arcam,AVR350,AVR 350,AV receiver,multichannel DACs; premium op-amps; transformer and power modules,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,82,90,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Denon,AVR-1909,AVR1909,AV receiver,multichannel DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,60,55,HDMI fault; missing remote; display fault,no sound; burnt output stage; water damage,hard,Heavy; mains safety,Common Denon AVR; exact DAC verify,Cheap with HDMI faults.
Denon,AVR-2805,AVR2805,AV receiver,DAC stage; DSP; large transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,62,65,input selector fault; missing remote; display issue,burnt outputs; no sound; water damage,hard,Very heavy; local only preferable,Common older Denon AVR; exact DAC verify,Transformer/power parts more useful than DAC.
Denon,AVR-3808,AVR3808|3808A,AV receiver,multichannel Burr-Brown DACs; ADC; op-amps; relays; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,82,75,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Denon,AVR-4308,AVR4308|4308A,AV receiver,premium multichannel DAC stage; op-amps; ADC; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,87,95,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Denon,AVR-4310,AVR4310,AV receiver,multichannel DACs; AL24/DSP circuitry; op-amps; relays,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,84,85,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Denon,AVR-4810,AVR4810,AV receiver,premium multichannel DACs; many op-amps; large transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,90,120,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Harman Kardon,AVR 8500,AVR8500,AV receiver,Crystal/Cirrus multichannel DACs; op-amps; very large transformer and heatsinks,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,82,90,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Marantz,AV7005,AV-7005,AV receiver,multichannel DACs; HDAM output stages; balanced line drivers,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,86,100,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Marantz,SR5003,SR-5003,AV receiver,DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,62,65,HDMI fault; missing remote; display issue,burnt outputs; water damage; no sound,hard,Heavy; inspect heat damage,Common Marantz AVR; exact DAC verify,Local cheap only.
Marantz,SR7002,SR-7002,AV receiver,Cirrus/AKM-class multichannel DACs; HDAM modules; op-amps; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,80,75,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Marantz,SR7005,SR-7005,AV receiver,multichannel DACs; HDAM analogue modules; ADC; relays,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,81,85,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Marantz,SR8002,SR-8002,AV receiver,premium DAC stage; HDAM modules; op-amps; large transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,86,95,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Onkyo,TX-NR1007,TXNR1007,AV receiver,multichannel Burr-Brown DAC stage; op-amps; relays; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,82,75,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Onkyo,TX-NR3007,TXNR3007,AV receiver,multiple premium DAC channels; op-amps; DSPs; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,88,95,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Onkyo,TX-NR5007,TXNR5007,AV receiver,premium multichannel DACs; many op-amps; large transformer; relays,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,91,115,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Onkyo,TX-NR609,TXNR609,AV receiver,DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,66,70,HDMI/network fault; display fault,no sound; burnt board; lightning damage; water damage,hard,Heavy; HDMI fault common but audio boards may be okay,Common UK AV receiver; exact DAC verify,Good donor only if local cheap.
Onkyo,TX-SR606,TXSR606,AV receiver,Burr-Brown/TI DAC stage reported; DSP; power amp output transistors; transformer,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,64,65,HDMI fault; display fault; missing remote,no sound; burnt output stage; lightning; water damage,hard,Heavy; discharge capacitors; mains safety,Common Onkyo HDMI-failure receiver; exact DAC verify,Often cheap due HDMI board faults.
Onkyo,TX-SR607,TXSR607,AV receiver,DAC stage; DSP; power amp parts; transformer,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,62,60,HDMI fault; missing remote; display issue,burnt output stage; no sound; water damage,hard,Heavy; many through-hole power parts,Common AV receiver; verify audio board,Avoid lightning damage.
Onkyo,TX-SR805,TXSR805,AV receiver,Burr-Brown multichannel DACs; ADC; many NJM op-amps; relays; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,82,70,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Onkyo,TX-SR875,TXSR875,AV receiver,multiple Burr-Brown PCM1796-class DACs; op-amps; ADC; large transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,90,90,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Onkyo,TX-SR905,TXSR905,AV receiver,multiple high-grade Burr-Brown DACs; op-amps; ADC; toroidal transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,92,110,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Pioneer,SC-LX82,SCLX82,AV receiver,high-grade multichannel DACs; op-amps; ICEpower modules; transformer parts,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,86,95,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Pioneer,SC-LX90 Susano,SCLX90|Susano,AV receiver,premium multichannel DACs; many op-amps; large power modules; transformers,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,95,200,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Pioneer,VSX-AX3,VSXAX3,AV receiver,DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,60,60,display fault; input fault; missing remote,burnt outputs; water damage; no sound,hard,Heavy; many boards,Older Pioneer AVR; exact DAC verify,May be worth intact.
Pioneer,VSX-LX70,VSXLX70,AV receiver,Wolfson/Burr-Brown-class multichannel DAC stage; op-amps; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,78,70,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Pioneer,VSX-LX81,VSXLX81,AV receiver,premium multichannel DACs; op-amps; DSP; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,84,85,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Rotel,RSX-1055,RSX1055,AV receiver,DAC stage; DSP; large transformer; discrete power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,78,130,display fault; input selector fault; missing remote,burnt outputs; no sound; water damage,hard,Very heavy; transformer valuable,Rotel receiver class; exact DAC verify,Usually worth more intact.
Yamaha,DSP-A5,DSPA5,AV receiver,Yamaha DSP; DAC stage; transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,58,45,display fault; missing remote; input selector fault,no sound; burnt output; water damage,hard,Heavy; discrete amp parts,Yamaha AV amp class; exact DAC verify,Cheap only.
Yamaha,DSP-Z11,DSPZ11|Z11 AV amplifier,AV receiver,many premium DAC channels; extensive op-amps; large transformer and heatsinks,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,95,160,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Yamaha,DSP-Z7,DSPZ7|Z7 AV amplifier,AV receiver,high-grade multichannel DACs; op-amps; DSP; large transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,90,120,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Yamaha,RX-V1800,RXV1800,AV receiver,Burr-Brown multichannel DACs; ADC; op-amps; relays; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,80,70,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Yamaha,RX-V3800,RXV3800,AV receiver,premium Burr-Brown multichannel DACs; op-amps; ADC; transformer,standalone DAC|ADC|op-amp|DSP|transformer or mechanical salvage,probable,86,90,HDMI board fault; network fault; display fault; stuck in protect with intact digital board; missing remote,lightning damage; burnt power amplifier; liquid damage; no sound on every channel,hard,Very heavy; local collection usually makes sense. Identify and remove complete DAC/analogue boards where possible.,Manufacturer manual/service documentation; verify board revision before purchase,"HDMI failures can create excellent donors, but no-audio faults may implicate the DAC or DSP rails."
Yamaha,RX-V595,RXV595,AV receiver,Yamaha DSP; DAC stage; transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,56,45,display fault; missing remote; input fault,no sound; burnt outputs; lightning damage,hard,Heavy; power stage salvage,Common UK receiver; exact chips verify,Usually low resale.
Yamaha,RX-V640RDS,RXV640|RX-V640,AV receiver,DAC stage; DSP; transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,58,50,display fault; HDMI absent so input faults; missing remote,burnt outputs; no sound; water damage,hard,Heavy shipping often kills value,Common model; verify internals,Good local pickup donor.
Arcam,Alpha 5,Alpha Five CD|Arcam Alpha 5 CD,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,62,55,tray fault; laser fault; missing remote,no sound; burnt board; water damage,medium,Good analogue-stage donor,Common Arcam player; exact DAC varies/verify,May be worth repair intact.
Arcam,Alpha 7,Alpha Seven CD|Arcam Alpha 7 CD,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,66,65,laser fault; tray fault; display issue,no sound; burnt board; water damage,medium,Verify DAC chip,Common UK hi-fi model; exact DAC not assumed,Often cheap faulty.
Arcam,Alpha 8,Alpha Eight CD|Alpha 8SE,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,85,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,8SE may be worth intact,Common modding/upgrade model; verify revision,Avoid stripping good units.
Arcam,CD192,DiVA CD192,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,82,140,laser fault; no disc; missing remote,no sound; burnt board; water damage,hard,Higher intact value; salvage only cheap faulty,High-line Arcam; exact chips should be verified,Often worth repair.
Arcam,CD72,DiVA CD72|CD 72,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,85,laser fault; no disc; missing remote,no sound; burnt board; liquid damage,medium,Verify DAC markings,Arcam DiVA line commonly uses Wolfson-era DACs; confirm board,Good faulty donor.
